Industry,Company Name,Address,Fixed Capital,Total Capital,Product & Annual Capacity,Employment
Service Industry,Orient Digital Midea Pvt. Ltd.,Kathmandu-34,37.4,47.4,Television Transmission Service(Iptv) Operation-3200 Users,17
Service Industry,J-Season Cargo Pvt.Ltd.,Thamel-29,8.6,10.1,Cargo-3400 MT,40
Service Industry,B-Kul Language Training Center Pvt. Ltd.,Thamel-29,9,10,Enlish Language Training-400 Persons,24
Service Industry,Global Neighbors Language Training Center Pvt. Ltd.,Kathmandu,13,15,English Language Training- 500 Persons,31
Tourism Industry,Swambling Hotel Pvt. Ltd.,Boudha,18,20,Hotel 46 Bed Restaurent 50 Seats,40
Tourism Industry,Happy World Pvt. Ltd.,Thamel,46,49.5,Visitors 115000 Persons Restaurant 49500 Seats,56
Tourism Industry,Mando Bijaro Pvt. Ltd.,Kathmandu-23,8,10,Hotel 36 Beds Restaurant 60 Seats,36
Tourism Industry,Mountain Equip Hotel Nepal Pvt. Ltd.,Kathmandu-16,41.7,48.1,Hotel 8 Double Bed Room,18
Tourism Industry,Kasara Jungle Resort Pvt.Ltd.,Chitwan,95,100,Hotel 48 Bed Restaurant 100 Seats,45
Tourism Industry,Ocean Park And Resort Pvt.Ltd., Sunsari,145,150,Hotel 36 Double Bed Room,78
Tourism Industry,Hotel Devori And Restaurent Pvt. Ltd., Kailali,94,100,Hotel 48 Bed Restaurant 130 Seats,85
Tourism Industry,The Centurian Hotel Pvt. Ltd.,Morang,45.5,50,Hotel 40 Bed Restaurant 80 Seats,60
Tourism Industry,Shriji Hotels Pvt. Ltd.,Kathmandu -9,153.5,163.2,Hotel 46 Bed Restaurant 100 Seats,90
Tourism Industry,Gongjau Hotel With Restaurent Pvt. Ltd.,Kathmandu,12.5,15,Hotel 30 Bed Restaurant 50 Seats,40
Tourism Industry,Spanish Topaz Launge Pvt.Ltd.,Kathmandu-2,3.8,4.5,Restaurant 40 Seats,14
Tourism Industry,Namaste Nepalese Air Pvt.Ltd.,Lalitpur- 14,150,300,Passenger 442368 Passenger,90
Tourism Industry,Hotel Himalayan View Sarangkot Pvt. Ltd.,Kaski,290,300,Hotel 90 Bed Restaurant 160 Seat,73
Tourism Industry,Platinum Resort Pvt Ltd., Kavre,82.5,85,Hotel 22 Rooms With Double Beds,50
Tourism Industry,U.N.B. Restaurent Pvt. Ltd.,Lalitpur-5,5,6,Restaurant 40 Seats,14
Tourism Industry,Sauraha Bamboo Cottage Pvt.Ltd.,Chitwan,1.8,2.5,Hotel 18 Beds Restaurant 25 Sats,26
Tourism Industry,Hotel Seven Star Pvt. Ltd.,Chitwan,158.2,166.2,Hotel 48 Bed Restaurant 150 Seats,75
Tourism Industry,Himalayan Meditetion Retreat Hotel And Restaurent Pvt. Ltd.,Kaski,1.9,2.4,Hotel 18 Beds Restaurant 30 Seats,20
Tourism Industry,Nirsh Toste Bakery Restaurent Pvt. Ltd.,Kathmandu,6.3,8,Restaurant 120 Seats,24
Tourism Industry,Mitrata Hotel With Restaurant Pvt. Ltd.,Kaski,12.5,15,Hotel- 40 Beds,40
Tourism Industry,Eyetex Nepal Pvt. Ltd.,Kathmandu-6,4,5,Hotel-20 Beds,40
Tourism Industry,Centre Resort Pvt. Ltd.,Nayapati VDC-7 Kathmandu,8,10,Hotel-20 Beds,40
Tourism Industry,Hyocho Himalayan Lodge Pvt. Ltd.,Pokhara-6,2,2.5,Hotel-20 Beds,27
Tourism Industry,Cafe Jireha Pvt. Ltd.,Lalitpur,4.4,5.6,Restaurant-80 Seats,40
Tourism Industry,Star Fish Hotel With Restauratn Pvt. Ltd.,Kathmandu-29,11.5,15,Hotel-42 Beds,45
Tourism Industry,I.S.M.I. Housing Pvt. Ltd.(Branch Industry-1_,Baluwatar,136,140,Hotel-48 Beds,44
Tourism Industry,Hotel Zhao Pvt. Ltd.,Kathmandu-15,3.9,5,Hotel-20 Beds,34
Tourism Industry,Himal Water Park And Village Hotel Pvt. Ltd.,Birgunj-17,93,100,Hotel-44 Bed,49
Tourism Industry,Jaint Panda International Restaurant Pvt. Ltd.,Kathmandu-29,4.5,6,Restaurant-60 Seats,26
Tourism Industry,Dubai Darbar Restaurant Pvt. Ltd.,Kathmandu-4,3.8,4.8,Restaurant-80 Seats,23
Tourism Industry,Swadilo Restaurant Pvt. Ltd.,Lalitpur-4,9,12.5,Restaurant-150 Seats,46
Tourism Industry,Greatwall Hotel With Restaurant Pvt.Ltd.,Lalitpur-6,9.5,12,Hotel-20 Beds,40
Tourism Industry,Ama Chinese Restaurant Pvt. Ltd.,Kathmandu-6,8,10,Restaurant-100 Seat,40
Tourism Industry,Hotel Taishan Pvt. Ltd.,Kathmandu-29,4.2,26,Hotel 40 Beds Restaurant 150 Seats,40
Tourism Industry,Hotel Swiss Family Home Pvt. Ltd.,Kathmandu,23,5,Hotel 40 Beds Restaurant 70 Seats,34
Tourism Industry,Aahude Pvt. Ltd.,Kathmandu-6,725,1.9,Hotel 20 Beds Restaurant 60 Seats,22
Tourism Industry,Rising Star Hotel Pvt. Ltd.,Lalitpur-8,23,25,Hotel 40 Beds,45
Tourism Industry,Westar Hospitality Developers Pvt. Ltd.,Kathmandu-10,1.9,750,Hotel 244 beds Restaurant 150 Seats,200
Tourism Industry,Mitrata Floriculture Industries Pvt. Ltd.,Kathmandu,220,25,Flowers-30  MT,37
Tourism Industry,Song  Restaurant Pvt. Ltd.,Kathmandu-29,3.7,2.5,Restaurent -40 Seats,20
Tourism Industry,C.G.  Saphari And Tours Pvt. Ltd.,Chitwan,8.8,226,Hotel-48 Beds,58
Tourism Industry,Choice  Caf Pvt.,Kathmandu-16,46,5,Restaurant -60 Seats,26
Tourism Industry,Pure  Land Resort Pvt. Ltd.,Talku Dudechour VDC-8,780,10,Hotel-20 Beds,45
Tourism Industry,Devalaya  Pvt. Ltd.,Kathmandu-29,3.6,50,Hotel-40 Beds,60
Tourism Industry,Ichchhakaman  Cablecar Pvt.Ltd.,Chitwan,240,800,Cable Car Operation-930000 Person,90
Tourism Industry,Newa  Kitchen Pvt. Ltd.,Shesh Narayan VDC-3 Kathmandu,45,5,Restaurant-70 Seat,26
Tourism Industry,Ulence  Resort Hotel Pvt. Ltd., Kavre,1.8,271.2,Hotel-200 Beds,154
Tourism Industry,Hotel China Garden Pvt. Ltd.,Kathmandu-1,18,50,Hotel- 46 Beds,42
Tourism Industry,Shree  Harvest Foods Pvt.Ltd.,Pokhara-6,11.5,2.5,Restaurant -40 Seat,19
Tourism Industry,Heaven Caf And Guest House Pvt.,Kathmandu,85,20,Hotel-28  Beds,28
Tourism Industry,Marcia Hotel And Restaurant Pvt. Ltd.,Lalitpur -2,12.5,15,Hotel-40 Beds,45
Tourism Industry,Atithi Resort And Spa Pvt.Ltd.,Pokhara-6,91,90,Hotel-49 Beds,47
Tourism Industry,Sanga Launge And Cafe Pvt.Ltd.,Kathmandu-16,14,15,Restaurant-150 Seats,40
Tourism Industry,Commonwealth Development(Nepal) Pvt.Ltd.,Kathmandu-1,8,100,Hotel-48 Bed,60
Tourism Industry,Lusian Guest House Pvt.Ltd,Kathmandu-30,30,17,Hotel-45 Beds(Single Room-15,50
Tourism Industry,Litile China Ding Wai Sang Restaurent And Bar Pvt.Ltd,Kathmandu-1,526.8,10,Restaurant-100 Seats,40
Tourism Industry,Banabas Eco Resort Pvt.Ltd,Chitwan,48,33,Hotel-48bed,19
Tourism Industry,International  Hotels Pvt.Ltd.,Kathmandu-32,45,540,Hotel-112rooms,157
Tourism Industry,South  City Housing Pvt.Ltd,Lalitpur-2,3.8,50,Hotel-48bed,22
Tourism Industry,Nepal Mountain Lodge Pvt.Ltd,Pokhara-3,160,50,Hotel-30bed,45
Tourism Industry,Fujian Chinese Restaurant Pvt.Ltd,Kathmandu-17,139.2,5,Restaurant-60seats,28
Tourism Industry,Paviliance Himalaya Pvt. Ltd.,Kaski,91,170,Hotel-48 Beds,50
Tourism Industry,Samsing Holding Pvt. Ltd.,Kathmandu-30,17.4,143.2,Hotel-48 Beds,56
Tourism Industry,Bharatpur Garden Resort Pvt.Ltd.,Bharatpur -10,9,100,Hotel-80 Beds,70
Tourism Industry,Grace Guest House Pvt. Ltd.,Lalitpur-14,3.5,20,Hotel- 40 Beds,41
Tourism Industry,Town Planning Guest House Pvt. Ltd.,Kathmandu-35,45,10,Hotel- 40 Beds,34
Tourism Industry,Island Restaurant And Bar Pvt. Ltd.,Pokhara-6,4.5,5,Restaurant-60 Seat,25
Tourism Industry,M. L. Hospitality Pvt. Ltd.,Kathamandu-1,8.3,50,Restaurant-150 Seats,50
Tourism Industry,A La  Soup Restaurant Pvt.Ltd.,Pokhara-6,90,6,Restaurant-70 Seats,25
Tourism Industry,O.R.2.K. Cafe & Bar Pvt. Ltd.,Kathmandu-29,9,10,Various Kinds Of Foods-16000 Persons,12
Tourism Industry,Zhan Yun International Food Court Pvt. Ltd.,Kathmandu-11,27.8,100,Restaurant-300 Seats,90
Tourism Industry,Sattara Spring Pvt. Ltd.,Kaski,45,10,Hotel-10 Rooms,73
Tourism Industry,Kudos Hotel Pvt. Ltd.,Bouddha,8.7,30,Hotel-40 Beds,45
Tourism Industry,Nepal Moutain Lodge Pvt. Ltd. Branch Industry-1,Kaski,8.2,50,Hotel-30 Beds,55
Tourism Industry,Hutor Pvt. Ltd.,Kaski,8,10,Hotel-20 Beds,45
Tourism Industry,Taal Lounge Cafe And Restaurant Pvt. Ltd.,Pokhara-16,7.9,10,Restaurant 90 Seats,33
Tourism Industry,Pokhara Bambo Garden Restaurant Pvt. Ltd.,Pokhara-6,7.5,10,Restaurant 100 Seats,40
Tourism Industry,Squirrel In The Mountain Village Restaurant And Bar Pvt. Ltd.,Pokhara-6,44,10,Restaurant 110 Seats,40
Tourism Industry,Korish Nepal Restaurant Pvt.Ltd.,Kathmandu-6,30,10,Restaurant 110 Seats,40
Tourism Industry,Roseville Farm & Resort Pvt.Ltd., Kavre,7.5,50,Hotel 48 Beds,45
Tourism Industry,Mingfa Hotel & Restaurent Pvt. Ltd.,Lalitpur,8.5,35,Hotel 40 Beds,50
Tourism Industry,Butterfly Cafe Pvt. Ltd.,Lalitpur-3,12,10,Restaurant 110 Seats,40
Tourism Industry,Hotel Shyarpu Pvt. Ltd.,Kathmandu-16,17,10,Hotel 32 Beds,40
Tourism Industry,Common Grounds Kathmandu Pvt. Ltd.,Kathmandu,11.5,15,Restaurant 150 Seats,40
Tourism Industry,Exotic House Pvt. Ltd.,Kathmandu-17,6.3,20,Hotel 32 Beds,50
Tourism Industry,Paolo Hotel Pvt. Ltd.,Kathmandu,5,15,Hotel 40 Beds,45
Tourism Industry,Yeti Pizza Pvt.Ltd.,Gongabu-7,32,7.5,Restaurant 80 Seats,31
Tourism Industry,Anjali's Dolphins Resort Pvt.Ltd., Bardiya,28,6.2,Hotel 20 Beds,32
Tourism Industry,Chhinnamasta Hotel With Restaurant Pvt. Ltd.,Chitwan,585,35,Hotel 40 Beds Restaurant 60 Seats,60
Tourism Industry,City Side Hotel Pvt. Ltd.,Kaski,16.5,30,Hotel 40 Beds,45
Tourism Industry,Annapurna Cable Car Pvt.Ltd.,Kaski,86,600,Cablecar 450000 Persons,55
Tourism Industry,China Town Restaurant Pvt.Ltd.,Kathmandu-30,4.2,20,Restaurant 200 Seats,46
Tourism Industry,Drala Resort Nepal Pvt.Ltd.,DAKSHINKALI VDC-9 KATHMANDU,90,90,Hotel-48 Beds,56
Tourism Industry,Hallasan Restaurant Pvt. Ltd.,Kathmandu-17,95,5,Restaurant -60 Seats,24
Tourism Industry,Da. Yatra Courtyard Pvt. Ltd., Pokhara,3.9,95,Hotel-48 Beds,55
Tourism Industry,Lumbini Cloud Buddhist Cultural Facility Construction And Operation Company.Pvt.Ltd,Rupandehi,3.9,100,Hotel-44 Beds,45
Tourism Industry,Bullet Base Camp Pvt.Ltd.,Pokhara-6,13,5,Restaurant -52 Seats,30
Tourism Industry,French Corner Pvt.Ltd.,Thamel-29,19,5,Restaurant-52 Seats,30
Tourism Industry,China CG Hotel Pvt. Ltd,Kathmandu,32,15, Restaurant-70 Seats,40
Tourism Industry,Bishuddhi Pvt.Ltd.,Kaski,30,19.8, Restaurant-40 Seats,14
Tourism Industry,Roseline Hotel With Restaurant Pvt. Ltd.,Kathmandu-6,,35, Restaurant-60 Seats,60
Tourism Industry,Monique Hotel And Restaurant Pvt.Ltd,Thamel,,35, Restaurant,50
