Category,No. Of Projects,Total Capital,Fixed Capital,Working Capital,Foreign Investment,No. Of Employment
Large,228,165769.77,149190.95,18114.68,62061.26,48446
Medium,295,25374.3,14992.13,9839,15090.91,35026
Small,2129,24946.97,16721.02,7851.4,17934.03,97579
TOTAL,2652,216091.04,180904.09,35805.08,95086.2,181051
